user_id,weekend_activity_ratio
AE225Z2VRWT6GPTOMA4H4O3H2KVQ,1.0
AE23YCERVBZ7ABKTESKSSXYTLYRA,0.0
AE246WPAV4HBLUOOOKTECTYQ7ZPA,0.0
AE25NQAZI3725GZIL5FS52ZIKWKQ,0.3333333333333333
AE26ICWKMFJEHDH5VDX4W42H2NMA,0.0
AE2B7P75BH4A7L56Y365IQPYZ6YA,0.0
AE2C3MK7LXEZJVB2UXM45QCI2TBQ,1.0
AE2DWV6OPSOUHDZEZQBC2MRYAOXA,0.5
AE2JT2433VWURU2CEQB4HKLZNDRQ,1.0
AE2KCUCNBBR6ZMIUJQCM7KMQMJ5Q,0.0
AE2KTZVOMXO3XBRSERKGSBX4Q4IA,0.5
AE2L2VTHKTXIDTE5R7JUU4WW3AZQ,0.0
AE2MDGRKSWOV63U2JGW3MOMIEBSA,0.0
AE2MIK6YBTBRNZZGI5O5Z6VCMEPA,0.0
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,0.0
AE2ONKWFI53HMNABSEGANB4KVVAQ,0.0
AE2SLLQC24HDEHVUWKWDT2G7B23A,0.25
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,0.2553191489361702
AE2TP5ZT3QD6FSMAWNOJVU2P5ZIA,0.0
AE2UV6XH56H44OZBF3FY3IBS37TA,1.0
AE2VNRCUVMWDDI3VCA7VB6FNNO4A,0.0
AE2WCB3PAHPKVXBFCCK6RDQ76XKQ,1.0
AE2YFNTYYMTKCY6M2CQ3A75GHRGA,0.0
AE33XC2AXNEN6S3OVTPHVX7RRVIQ,0.0
AE34NEUMAQ27PPO63WLRTRDUKWFQ,0.0
AE34VA3WMMQ66SY7HAFPRZNZUEBA,0.5
AE35DGEQAVUE6ADUZZMQWLZIESIA,0.0
AE35DHGBMKOUASVTTHQCYTHVHKKA,0.15384615384615385
AE36CH2CNKXKUUZSSDUBSFN5ARWQ,0.0
AE3A3DKHZOBCZS6352E5VP2WE2CA,0.0
AE3ADG6WP7UYB54J3CRQ22BLQE3A,0.3333333333333333
AE3C62JLCUWE273CJ3MNBXLJAJ6Q,0.0
AE3C6ZSDIWLXHZ4MW6LNITGHZWLQ,0.4
AE3DNVXK3KQ52BTHWDTKCJOZ2WPQ,1.0
AE3KRBQITID7SAJ2W5H5E7RD35DA,0.0
AE3LOM7QWQC2PDQJ3KDBWSTIAEXA,0.0
AE3PCPB24YTHGIIIWZOWBZ6VZIVA,0.0
AE3Q6AEWP7Y7CH4N6IWEP4YBNP2A,0.5
AE3S23WS6PMZEJAFOOS4YA67YHOA,1.0
AE3TVIQU3RAYXVKHWBBVU44GVESA,0.0
AE3U73QGVDLZUA2DSACCVDCYAY6Q,0.23529411764705882
AE3U7D7TFKOJB4YHU223VIJZCZ5Q,0.0
AE3UAOMGVAWIMC7642H7FBAI46EA,1.0
AE3VGST2ATPP7OTR3YGP43EMVT7Q,1.0
AE3VSUJHP2KB42ZW6RYEL2ZL2Z4Q,0.0
AE3WI6JPR64423XDLLWJIFDTQBJA,0.0
AE3WJ3IDKDL3AVWIVWVIIFOQKBEQ,1.0
AE3Y6N4OAXVU7AX3PZZ6M5LKEKKQ,0.0
AE3YAVL3JIQDT4GSV23DI6MJ7TRQ,0.0
AE3ZEVN65B3MWKIBLFRBGMJDGJCA,0.7142857142857143
AE3ZH3YVW3CVJSVJHXDKEOCQH55A,0.0
AE427MY65PZ6FNZ2IY6HCTIIQZEQ,0.2
AE42GH4BGD3R3BJFMZWONYKTPPAA,1.0
AE42OJDQ4FOVEW4XS2ZWBDWFSOKA,0.0
AE45QAEYVTPSHPANWBX4KRUF6MXQ,0.0
AE45YMBT22253F3XWEESXGHVS42A,1.0
AE475YIHKFR4FFV3ECYZS43DRZCA,0.0
AE4DDAEAGC7FBWR6FUOUZI4WOZLQ,0.0
AE4EY2RB3FDDFWK5AEBP2WP3AGMA,0.0
AE4HXIKWVZTAX53MFK77Z2TBZWVA,0.0
AE4JEBI6AAXVC6CKQCOSPLAVUCQQ,1.0
AE4JY2AMAZ76UC5XAOVYLUC6E7YQ,0.0
AE4KVNO5P6N6SP6CQTZTIDHEAWFQ,0.36363636363636365
AE4L2LH55JNFCLHFXFC7YOEQSBIA,0.2916666666666667
