user_id,nb_interactions,recency_days,nb_products,category_entropy,avg_rating,rating_std,avg_review_length,avg_sentiment,weekend_activity_ratio,cluster
AE225Z2VRWT6GPTOMA4H4O3H2KVQ,1,1840,1,-0.0,0.5577466835865666,0.0,17.0,0.4166666666666667,1.0,3
AE23YCERVBZ7ABKTESKSSXYTLYRA,1,4840,1,-0.0,0.5577466835865666,0.0,59.0,0.2513888888888889,0.0,1
AE246WPAV4HBLUOOOKTECTYQ7ZPA,2,1,2,-0.0,0.5577466835865666,0.0,40.5,0.2406547619047618,0.0,1
AE25NQAZI3725GZIL5FS52ZIKWKQ,9,1219,9,-0.0,0.1582720702026629,1.198423840151711,9.333333333333334,0.43994708994709,0.3333333333333333,2
AE26ICWKMFJEHDH5VDX4W42H2NMA,3,596,3,-0.0,-0.0414652364892887,0.5189327450361415,18.666666666666668,0.1840277777777777,0.0,1
AE2B7P75BH4A7L56Y365IQPYZ6YA,1,2535,1,-0.0,0.5577466835865666,0.0,127.0,0.0916666666666666,0.0,1
AE2C3MK7LXEZJVB2UXM45QCI2TBQ,1,677,1,-0.0,-1.2398890766409998,0.0,37.0,-0.2375,1.0,0
AE2DWV6OPSOUHDZEZQBC2MRYAOXA,12,436,12,-0.0,0.1832392335391569,0.8092386677973332,24.583333333333332,0.353946136039886,0.5,2
AE2JT2433VWURU2CEQB4HKLZNDRQ,1,69,1,-0.0,-1.2398890766409998,0.0,5.0,0.0,1.0,3
AE2KCUCNBBR6ZMIUJQCM7KMQMJ5Q,1,4473,1,-0.0,-2.138706956754783,0.0,126.0,0.0676406695156695,0.0,0
AE2KTZVOMXO3XBRSERKGSBX4Q4IA,2,579,2,-0.0,-0.3410711965272165,0.0,15.0,0.490625,0.5,1
AE2L2VTHKTXIDTE5R7JUU4WW3AZQ,1,122,1,-0.0,0.5577466835865666,0.0,11.0,0.7833333333333332,0.0,1
AE2MDGRKSWOV63U2JGW3MOMIEBSA,2,2373,2,-0.0,0.5577466835865666,0.0,22.0,0.3590909090909091,0.0,1
AE2MIK6YBTBRNZZGI5O5Z6VCMEPA,1,2128,1,-0.0,0.5577466835865666,0.0,15.0,0.2901785714285714,0.0,1
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,1,6268,1,-0.0,0.5577466835865666,0.0,14.0,-0.0305555555555555,0.0,1
AE2ONKWFI53HMNABSEGANB4KVVAQ,1,3131,1,-0.0,0.5577466835865666,0.0,3.0,1.0,0.0,1
AE2SLLQC24HDEHVUWKWDT2G7B23A,4,261,4,0.8112781244591328,0.5577466835865666,0.0,29.75,0.3923958333333333,0.25,1
AE2TA5GQH4JI5RQ4W5H5PQOVYBGA,94,55,94,0.5869860483434262,-0.8574133829755601,1.2538453947336117,7.904255319148936,0.2634655636916275,0.2553191489361702,2
AE2TP5ZT3QD6FSMAWNOJVU2P5ZIA,1,2271,1,-0.0,0.5577466835865666,0.0,5.0,1.0,0.0,1
AE2UV6XH56H44OZBF3FY3IBS37TA,1,3618,1,-0.0,0.5577466835865666,0.0,221.0,0.3505847953216374,1.0,3
AE2VNRCUVMWDDI3VCA7VB6FNNO4A,2,1820,2,-0.0,-1.2398890766409998,0.0,11.5,0.3,0.0,0
AE2WCB3PAHPKVXBFCCK6RDQ76XKQ,1,3673,1,-0.0,0.5577466835865666,0.0,51.0,0.5916666666666667,1.0,3
AE2YFNTYYMTKCY6M2CQ3A75GHRGA,1,2282,1,-0.0,0.5577466835865666,0.0,36.0,0.5545454545454545,0.0,1
AE33XC2AXNEN6S3OVTPHVX7RRVIQ,1,2167,1,-0.0,0.5577466835865666,0.0,4.0,1.0,0.0,1
AE34NEUMAQ27PPO63WLRTRDUKWFQ,1,1855,1,-0.0,0.5577466835865666,0.0,29.0,0.325,0.0,1
AE34VA3WMMQ66SY7HAFPRZNZUEBA,4,656,4,1.5,0.5577466835865666,0.0,18.0,0.36,0.5,2
AE35DGEQAVUE6ADUZZMQWLZIESIA,1,3721,1,-0.0,0.5577466835865666,0.0,55.0,0.2607954545454545,0.0,1
AE35DHGBMKOUASVTTHQCYTHVHKKA,13,2497,13,-0.0,0.4886068466547372,0.24928722723493,40.92307692307692,0.5329025835275835,0.1538461538461538,1
AE36CH2CNKXKUUZSSDUBSFN5ARWQ,1,746,1,-0.0,0.5577466835865666,0.0,43.0,0.0572916666666666,0.0,1
AE3A3DKHZOBCZS6352E5VP2WE2CA,1,1884,1,-0.0,0.5577466835865666,0.0,1.0,0.6,0.0,1
AE3ADG6WP7UYB54J3CRQ22BLQE3A,6,193,6,-0.0,0.5577466835865666,0.0,15.833333333333334,0.3854166666666667,0.3333333333333333,1
AE3C62JLCUWE273CJ3MNBXLJAJ6Q,4,248,4,1.5,-0.1163667264987707,0.8605526033570225,73.5,0.3328505291005291,0.0,2
AE3C6ZSDIWLXHZ4MW6LNITGHZWLQ,5,731,5,-0.0,0.0184559555182967,1.2058907275960054,90.8,0.4269218539888044,0.4,2
AE3DNVXK3KQ52BTHWDTKCJOZ2WPQ,1,733,1,-0.0,-3.0375248368685663,0.0,11.0,0.5,1.0,0
AE3KRBQITID7SAJ2W5H5E7RD35DA,1,2249,1,-0.0,0.5577466835865666,0.0,7.0,0.3181818181818182,0.0,1
AE3LOM7QWQC2PDQJ3KDBWSTIAEXA,5,262,5,0.7219280948873623,-0.1613076205044599,1.6078543034613406,81.2,0.3195907287157287,0.0,2
AE3PCPB24YTHGIIIWZOWBZ6VZIVA,2,613,2,-0.0,0.108337743529675,0.6355602180801734,6.5,0.28,0.0,1
AE3Q6AEWP7Y7CH4N6IWEP4YBNP2A,18,78,18,1.0529407605626346,0.058403416856687,0.936224564381771,17.944444444444443,0.4211428738161931,0.5,2
AE3S23WS6PMZEJAFOOS4YA67YHOA,1,1314,1,-0.0,0.5577466835865666,0.0,2.0,0.5,1.0,3
AE3TVIQU3RAYXVKHWBBVU44GVESA,1,7557,1,-0.0,-0.3410711965272165,0.0,462.0,0.1296449829931973,0.0,0
AE3U73QGVDLZUA2DSACCVDCYAY6Q,17,14,17,1.7838593436779768,0.2405168435464078,0.7745740373169997,14.941176470588236,0.3688963779956427,0.2352941176470588,2
AE3U7D7TFKOJB4YHU223VIJZCZ5Q,2,1842,2,-0.0,0.5577466835865666,0.0,14.0,0.0370833333333333,0.0,1
AE3UAOMGVAWIMC7642H7FBAI46EA,1,1132,1,-0.0,0.5577466835865666,0.0,18.0,1.0,1.0,3
AE3VGST2ATPP7OTR3YGP43EMVT7Q,1,1462,1,-0.0,0.5577466835865666,0.0,28.0,0.3844444444444444,1.0,3
AE3VSUJHP2KB42ZW6RYEL2ZL2Z4Q,1,2184,1,-0.0,0.5577466835865666,0.0,3.0,0.0,0.0,1
AE3WI6JPR64423XDLLWJIFDTQBJA,1,1787,1,-0.0,0.5577466835865666,0.0,29.0,0.4333333333333333,0.0,1
